2019-09-29 21.18.18 2143620498159075611_대림미술관.jpg;오늘 날씨두 좋구하여 윗동네로 마실#9월의마지막주말 #대림미술관 #하이메아욘 #SERIOUSFUN
2019-10-06 19.42.41 2148645806853721500_대림미술관.jpg;동화속 엘리스 같았던 드로잉:)아기자기 귀여운 작품들이 가득했던 전시💕..#대림미술관 #하이메아욘 #숨겨진일곱가지사연 #전시회추천 #데일리그램 #문화데이
2019-10-06 19.49.45 2148649362060892750_대림미술관.jpg;@sxnuow #대림미술관 #하이메아욘숨겨진일곱가지사연 #adidas
2019-10-06 19.49.45 2148649362077601613_대림미술관.jpg;@sxnuow #대림미술관 #하이메아욘숨겨진일곱가지사연 #adidas
2019-10-06 19.49.45 2148649364451576924_대림미술관.jpg;@sxnuow #대림미술관 #하이메아욘숨겨진일곱가지사연 #adidas
2019-10-06 20.09.53 2148659491163670233_대림미술관.jpg;#대림미술관 #하이메아욘 서촌 나들이
2019-10-06 20.09.53 2148659491172208622_대림미술관.jpg;#대림미술관 #하이메아욘 서촌 나들이
2019-10-06 20.09.53 2148659491180460609_대림미술관.jpg;#대림미술관 #하이메아욘 서촌 나들이
2019-10-06 20.09.53 2148659491188795810_대림미술관.jpg;#대림미술관 #하이메아욘 서촌 나들이
2019-10-06 20.09.53 2148659491188920637_대림미술관.jpg;#대림미술관 #하이메아욘 서촌 나들이
2019-10-06 20.09.53 2148659491197313965_대림미술관.jpg;#대림미술관 #하이메아욘 서촌 나들이
2019-10-06 20.09.53 2148659491205789498_대림미술관.jpg;#대림미술관 #하이메아욘 서촌 나들이
2019-10-06 20.09.53 2148659491222377544_대림미술관.jpg;#대림미술관 #하이메아욘 서촌 나들이
2019-10-06 20.09.53 2148659493286017119_대림미술관.jpg;#대림미술관 #하이메아욘 서촌 나들이
2019-10-06 20.16.24 2148662773138319953_대림미술관.jpg;대림미술관 with 아들같은 전시 또 다른 시각..[미술관..서촌은 매번 다시 좋다]아직은 귀엽기만한 아들..손잡고 도란도란 이야기 나누며 전시보고 걷고..소중하고 좋았다..나이가 드나..매순간이 소중한게.. #아들과데이트#대림미술관 #서촌데이트 #서촌#서촌문화#하이메아욘전시 #미술관데이트
2019-10-06 20.16.24 2148662773155057794_대림미술관.jpg;대림미술관 with 아들같은 전시 또 다른 시각..[미술관..서촌은 매번 다시 좋다]아직은 귀엽기만한 아들..손잡고 도란도란 이야기 나누며 전시보고 걷고..소중하고 좋았다..나이가 드나..매순간이 소중한게.. #아들과데이트#대림미술관 #서촌데이트 #서촌#서촌문화#하이메아욘전시 #미술관데이트
2019-10-06 20.16.24 2148662773163353297_대림미술관.jpg;대림미술관 with 아들같은 전시 또 다른 시각..[미술관..서촌은 매번 다시 좋다]아직은 귀엽기만한 아들..손잡고 도란도란 이야기 나누며 전시보고 걷고..소중하고 좋았다..나이가 드나..매순간이 소중한게.. #아들과데이트#대림미술관 #서촌데이트 #서촌#서촌문화#하이메아욘전시 #미술관데이트
2019-10-06 20.16.24 2148662773171836615_대림미술관.jpg;대림미술관 with 아들같은 전시 또 다른 시각..[미술관..서촌은 매번 다시 좋다]아직은 귀엽기만한 아들..손잡고 도란도란 이야기 나누며 전시보고 걷고..소중하고 좋았다..나이가 드나..매순간이 소중한게.. #아들과데이트#대림미술관 #서촌데이트 #서촌#서촌문화#하이메아욘전시 #미술관데이트
2019-10-06 20.16.24 2148662773180182745_대림미술관.jpg;대림미술관 with 아들같은 전시 또 다른 시각..[미술관..서촌은 매번 다시 좋다]아직은 귀엽기만한 아들..손잡고 도란도란 이야기 나누며 전시보고 걷고..소중하고 좋았다..나이가 드나..매순간이 소중한게.. #아들과데이트#대림미술관 #서촌데이트 #서촌#서촌문화#하이메아욘전시 #미술관데이트
2019-10-06 20.16.24 2148662773196796779_대림미술관.jpg;대림미술관 with 아들같은 전시 또 다른 시각..[미술관..서촌은 매번 다시 좋다]아직은 귀엽기만한 아들..손잡고 도란도란 이야기 나누며 전시보고 걷고..소중하고 좋았다..나이가 드나..매순간이 소중한게.. #아들과데이트#대림미술관 #서촌데이트 #서촌#서촌문화#하이메아욘전시 #미술관데이트
2019-10-06 20.16.24 2148662776015439294_대림미술관.jpg;대림미술관 with 아들같은 전시 또 다른 시각..[미술관..서촌은 매번 다시 좋다]아직은 귀엽기만한 아들..손잡고 도란도란 이야기 나누며 전시보고 걷고..소중하고 좋았다..나이가 드나..매순간이 소중한게.. #아들과데이트#대림미술관 #서촌데이트 #서촌#서촌문화#하이메아욘전시 #미술관데이트
2019-10-06 20.21.34 2148665368809621915_대림미술관.jpg;울 꼬맹이들 가을맞이 #wallhanger만들었어요가을만큼이나풍성한 하루다양한 감정표현과예술 표현이 넘쳐났던하루 #👩‍🎨👨‍🎨오늘도 함께해서감사합니다.#마이퍼스트클레이#어린이영어#유아영어#어린이전시회#어린이미술작품#미술관#대림미술관#해운대미술관#부산미술관#월행어#월행어만들기#아이방꾸미기
2019-10-06 20.21.34 2148665368834954170_대림미술관.jpg;울 꼬맹이들 가을맞이 #wallhanger만들었어요가을만큼이나풍성한 하루다양한 감정표현과예술 표현이 넘쳐났던하루 #👩‍🎨👨‍🎨오늘도 함께해서감사합니다.#마이퍼스트클레이#어린이영어#유아영어#어린이전시회#어린이미술작품#미술관#대림미술관#해운대미술관#부산미술관#월행어#월행어만들기#아이방꾸미기
2019-10-06 20.21.34 2148665371041069512_대림미술관.jpg;울 꼬맹이들 가을맞이 #wallhanger만들었어요가을만큼이나풍성한 하루다양한 감정표현과예술 표현이 넘쳐났던하루 #👩‍🎨👨‍🎨오늘도 함께해서감사합니다.#마이퍼스트클레이#어린이영어#유아영어#어린이전시회#어린이미술작품#미술관#대림미술관#해운대미술관#부산미술관#월행어#월행어만들기#아이방꾸미기
2019-10-06 20.31.47 2148670514877425537_대림미술관.jpg;오랜만에 전시.....#서촌 #대림미술관 #하이메아욘 #전시 #전시스타그램 #jamiehayon
2019-10-06 20.31.47 2148670514885683008_대림미술관.jpg;오랜만에 전시.....#서촌 #대림미술관 #하이메아욘 #전시 #전시스타그램 #jamiehayon
2019-10-06 20.31.47 2148670514902561390_대림미술관.jpg;오랜만에 전시.....#서촌 #대림미술관 #하이메아욘 #전시 #전시스타그램 #jamiehayon
2019-10-06 20.31.47 2148670514910894107_대림미술관.jpg;오랜만에 전시.....#서촌 #대림미술관 #하이메아욘 #전시 #전시스타그램 #jamiehayon
2019-10-06 20.31.47 2148670514919339200_대림미술관.jpg;오랜만에 전시.....#서촌 #대림미술관 #하이메아욘 #전시 #전시스타그램 #jamiehayon
2019-10-06 20.31.47 2148670514927644045_대림미술관.jpg;오랜만에 전시.....#서촌 #대림미술관 #하이메아욘 #전시 #전시스타그램 #jamiehayon
2019-10-06 20.31.47 2148670514936074074_대림미술관.jpg;오랜만에 전시.....#서촌 #대림미술관 #하이메아욘 #전시 #전시스타그램 #jamiehayon
2019-10-06 20.31.47 2148670514952874950_대림미술관.jpg;오랜만에 전시.....#서촌 #대림미술관 #하이메아욘 #전시 #전시스타그램 #jamiehayon
2019-10-06 20.31.47 2148670514961105706_대림미술관.jpg;오랜만에 전시.....#서촌 #대림미술관 #하이메아욘 #전시 #전시스타그램 #jamiehayon
2019-10-06 20.31.47 2148670517352046588_대림미술관.jpg;오랜만에 전시.....#서촌 #대림미술관 #하이메아욘 #전시 #전시스타그램 #jamiehayon
2019-10-06 20.44.24 2148676867350520002_대림미술관.jpg;.오늘은 문화생활 👀🤔#대림미술관 #하이메아욘
2019-10-06 20.44.24 2148676867358900515_대림미술관.jpg;.오늘은 문화생활 👀🤔#대림미술관 #하이메아욘
2019-10-06 20.44.24 2148676867367307154_대림미술관.jpg;.오늘은 문화생활 👀🤔#대림미술관 #하이메아욘
2019-10-06 20.44.24 2148676867367334572_대림미술관.jpg;.오늘은 문화생활 👀🤔#대림미술관 #하이메아욘
2019-10-06 20.44.24 2148676870345256125_대림미술관.jpg;.오늘은 문화생활 👀🤔#대림미술관 #하이메아욘
2019-10-06 20.52.25 2148680902808734494_대림미술관.jpg;"대림미술관 하이메야욘""숨겨진 일곱가지 사연"".전시는 7가지로 구성되어있고약간 괴상한가 싶지만나름 패턴있는 조형물과 그림들을 찾아보는것도 킬포🤔.오랜만에 빅맥이랑🧡.#대림미술관 #미술관 #전시회 #하이메야욘 #전시 #미술 #그림 #작품 #종로 #종로가볼만한곳 #경복궁역 #미술관데이트 #ootd #빅맥 #미니맥 #우정그램 #미술그램"
2019-10-06 20.52.25 2148680902825661740_대림미술관.jpg;"대림미술관 하이메야욘""숨겨진 일곱가지 사연"".전시는 7가지로 구성되어있고약간 괴상한가 싶지만나름 패턴있는 조형물과 그림들을 찾아보는것도 킬포🤔.오랜만에 빅맥이랑🧡.#대림미술관 #미술관 #전시회 #하이메야욘 #전시 #미술 #그림 #작품 #종로 #종로가볼만한곳 #경복궁역 #미술관데이트 #ootd #빅맥 #미니맥 #우정그램 #미술그램"
2019-10-06 20.52.25 2148680902834048613_대림미술관.jpg;"대림미술관 하이메야욘""숨겨진 일곱가지 사연"".전시는 7가지로 구성되어있고약간 괴상한가 싶지만나름 패턴있는 조형물과 그림들을 찾아보는것도 킬포🤔.오랜만에 빅맥이랑🧡.#대림미술관 #미술관 #전시회 #하이메야욘 #전시 #미술 #그림 #작품 #종로 #종로가볼만한곳 #경복궁역 #미술관데이트 #ootd #빅맥 #미니맥 #우정그램 #미술그램"
2019-10-06 20.52.25 2148680902842318912_대림미술관.jpg;"대림미술관 하이메야욘""숨겨진 일곱가지 사연"".전시는 7가지로 구성되어있고약간 괴상한가 싶지만나름 패턴있는 조형물과 그림들을 찾아보는것도 킬포🤔.오랜만에 빅맥이랑🧡.#대림미술관 #미술관 #전시회 #하이메야욘 #전시 #미술 #그림 #작품 #종로 #종로가볼만한곳 #경복궁역 #미술관데이트 #ootd #빅맥 #미니맥 #우정그램 #미술그램"
2019-10-06 20.52.25 2148680902859090730_대림미술관.jpg;"대림미술관 하이메야욘""숨겨진 일곱가지 사연"".전시는 7가지로 구성되어있고약간 괴상한가 싶지만나름 패턴있는 조형물과 그림들을 찾아보는것도 킬포🤔.오랜만에 빅맥이랑🧡.#대림미술관 #미술관 #전시회 #하이메야욘 #전시 #미술 #그림 #작품 #종로 #종로가볼만한곳 #경복궁역 #미술관데이트 #ootd #빅맥 #미니맥 #우정그램 #미술그램"
2019-10-06 20.52.25 2148680904847315982_대림미술관.jpg;"대림미술관 하이메야욘""숨겨진 일곱가지 사연"".전시는 7가지로 구성되어있고약간 괴상한가 싶지만나름 패턴있는 조형물과 그림들을 찾아보는것도 킬포🤔.오랜만에 빅맥이랑🧡.#대림미술관 #미술관 #전시회 #하이메야욘 #전시 #미술 #그림 #작품 #종로 #종로가볼만한곳 #경복궁역 #미술관데이트 #ootd #빅맥 #미니맥 #우정그램 #미술그램"
2019-10-06 21.04.13 2148686837388158065_대림미술관.jpg;오랜만에 서울 나들이🍃
2019-10-06 21.04.13 2148686837413396402_대림미술관.jpg;오랜만에 서울 나들이🍃
2019-10-06 21.04.13 2148686837430304105_대림미술관.jpg;오랜만에 서울 나들이🍃
2019-10-06 21.04.13 2148686837438590128_대림미술관.jpg;오랜만에 서울 나들이🍃
2019-10-06 21.04.13 2148686837447127752_대림미술관.jpg;오랜만에 서울 나들이🍃
2019-10-06 21.04.13 2148686837455290455_대림미술관.jpg;오랜만에 서울 나들이🍃
2019-10-06 21.04.13 2148686837463821431_대림미술관.jpg;오랜만에 서울 나들이🍃
2019-10-06 21.04.13 2148686837472261363_대림미술관.jpg;오랜만에 서울 나들이🍃
2019-10-06 21.04.13 2148686837480607645_대림미술관.jpg;오랜만에 서울 나들이🍃
2019-10-06 21.04.13 2148686840223548837_대림미술관.jpg;오랜만에 서울 나들이🍃
2019-10-06 21.07.04 2148688276368970494_대림미술관.jpg;#seriusfun #대림미술관
2019-10-06 21.07.04 2148688276385788465_대림미술관.jpg;#seriusfun #대림미술관
2019-10-06 21.07.04 2148688276394159137_대림미술관.jpg;#seriusfun #대림미술관
2019-10-06 21.07.04 2148688276394161311_대림미술관.jpg;#seriusfun #대림미술관
2019-10-06 21.07.04 2148688276402705807_대림미술관.jpg;#seriusfun #대림미술관
2019-10-06 21.07.04 2148688276410905598_대림미술관.jpg;#seriusfun #대림미술관
2019-10-06 21.07.04 2148688276419358642_대림미술관.jpg;#seriusfun #대림미술관
2019-10-06 21.07.04 2148688276427809773_대림미술관.jpg;#seriusfun #대림미술관
2019-10-06 21.07.04 2148688276444562083_대림미술관.jpg;#seriusfun #대림미술관
2019-10-06 21.07.04 2148688279590152211_대림미술관.jpg;#seriusfun #대림미술관
2019-10-06 21.11.40 2148690588749634230_대림미술관.jpg;.........................................................10.5 대림 미술관 写真見返したら映えすぎな美術館やってバビッ💜#서울 #경복궁 #대림미술관 #한국유학 #유학생 #유학생활
2019-10-06 21.11.40 2148690588758081345_대림미술관.jpg;.........................................................10.5 대림 미술관 写真見返したら映えすぎな美術館やってバビッ💜#서울 #경복궁 #대림미술관 #한국유학 #유학생 #유학생활
2019-10-06 21.11.40 2148690588758146867_대림미술관.jpg;.........................................................10.5 대림 미술관 写真見返したら映えすぎな美術館やってバビッ💜#서울 #경복궁 #대림미술관 #한국유학 #유학생 #유학생활
2019-10-06 21.11.40 2148690588774720217_대림미술관.jpg;.........................................................10.5 대림 미술관 写真見返したら映えすぎな美術館やってバビッ💜#서울 #경복궁 #대림미술관 #한국유학 #유학생 #유학생활
2019-10-06 21.11.40 2148690588783083692_대림미술관.jpg;.........................................................10.5 대림 미술관 写真見返したら映えすぎな美術館やってバビッ💜#서울 #경복궁 #대림미술관 #한국유학 #유학생 #유학생활
2019-10-06 21.11.40 2148690588783133848_대림미술관.jpg;.........................................................10.5 대림 미술관 写真見返したら映えすぎな美術館やってバビッ💜#서울 #경복궁 #대림미술관 #한국유학 #유학생 #유학생활
2019-10-06 21.11.40 2148690591601749382_대림미술관.jpg;.........................................................10.5 대림 미술관 写真見返したら映えすぎな美術館やってバビッ💜#서울 #경복궁 #대림미술관 #한국유학 #유학생 #유학생활
2019-10-06 21.18.52 2148694214060299711_대림미술관.jpg;#2 Serious fun...#하이메아욘숨겨진일곱가지사연 #덕수궁 #대림미술관 #전시회
2019-10-06 21.18.52 2148694214068897565_대림미술관.jpg;#2 Serious fun...#하이메아욘숨겨진일곱가지사연 #덕수궁 #대림미술관 #전시회
2019-10-06 21.18.52 2148694214077077490_대림미술관.jpg;#2 Serious fun...#하이메아욘숨겨진일곱가지사연 #덕수궁 #대림미술관 #전시회
2019-10-06 21.18.52 2148694214085528188_대림미술관.jpg;#2 Serious fun...#하이메아욘숨겨진일곱가지사연 #덕수궁 #대림미술관 #전시회
2019-10-06 21.18.52 2148694214085648133_대림미술관.jpg;#2 Serious fun...#하이메아욘숨겨진일곱가지사연 #덕수궁 #대림미술관 #전시회
2019-10-06 21.18.52 2148694214093932686_대림미술관.jpg;#2 Serious fun...#하이메아욘숨겨진일곱가지사연 #덕수궁 #대림미술관 #전시회
2019-10-06 21.18.52 2148694214102226576_대림미술관.jpg;#2 Serious fun...#하이메아욘숨겨진일곱가지사연 #덕수궁 #대림미술관 #전시회
2019-10-06 21.18.52 2148694217147329621_대림미술관.jpg;#2 Serious fun...#하이메아욘숨겨진일곱가지사연 #덕수궁 #대림미술관 #전시회
2019-10-06 21.23.17 2148696433786698277_대림미술관.jpg;10월 첫주말 나들이~#하이메야온 전시보러 미술관 고고♟#해피칠드런 알찬 2시간반 수업시간동안엄빠는 브런치도 하고🥞🥐, 전시도 보고~🖼 **문화생활 종종 하자구...🎑 .#대림미술관#해피칠드런#하이메야욘#오빠는홀로흑석동
2019-10-06 21.23.17 2148696433811911704_대림미술관.jpg;10월 첫주말 나들이~#하이메야온 전시보러 미술관 고고♟#해피칠드런 알찬 2시간반 수업시간동안엄빠는 브런치도 하고🥞🥐, 전시도 보고~🖼 **문화생활 종종 하자구...🎑 .#대림미술관#해피칠드런#하이메야욘#오빠는홀로흑석동
2019-10-06 21.23.17 2148696433820262860_대림미술관.jpg;10월 첫주말 나들이~#하이메야온 전시보러 미술관 고고♟#해피칠드런 알찬 2시간반 수업시간동안엄빠는 브런치도 하고🥞🥐, 전시도 보고~🖼 **문화생활 종종 하자구...🎑 .#대림미술관#해피칠드런#하이메야욘#오빠는홀로흑석동
2019-10-06 21.23.17 2148696433820347610_대림미술관.jpg;10월 첫주말 나들이~#하이메야온 전시보러 미술관 고고♟#해피칠드런 알찬 2시간반 수업시간동안엄빠는 브런치도 하고🥞🥐, 전시도 보고~🖼 **문화생활 종종 하자구...🎑 .#대림미술관#해피칠드런#하이메야욘#오빠는홀로흑석동
2019-10-06 21.23.17 2148696433828811634_대림미술관.jpg;10월 첫주말 나들이~#하이메야온 전시보러 미술관 고고♟#해피칠드런 알찬 2시간반 수업시간동안엄빠는 브런치도 하고🥞🥐, 전시도 보고~🖼 **문화생활 종종 하자구...🎑 .#대림미술관#해피칠드런#하이메야욘#오빠는홀로흑석동
2019-10-06 21.23.17 2148696433837087400_대림미술관.jpg;10월 첫주말 나들이~#하이메야온 전시보러 미술관 고고♟#해피칠드런 알찬 2시간반 수업시간동안엄빠는 브런치도 하고🥞🥐, 전시도 보고~🖼 **문화생활 종종 하자구...🎑 .#대림미술관#해피칠드런#하이메야욘#오빠는홀로흑석동
2019-10-06 21.23.17 2148696433845468471_대림미술관.jpg;10월 첫주말 나들이~#하이메야온 전시보러 미술관 고고♟#해피칠드런 알찬 2시간반 수업시간동안엄빠는 브런치도 하고🥞🥐, 전시도 보고~🖼 **문화생활 종종 하자구...🎑 .#대림미술관#해피칠드런#하이메야욘#오빠는홀로흑석동
2019-10-06 21.23.17 2148696433853913840_대림미술관.jpg;10월 첫주말 나들이~#하이메야온 전시보러 미술관 고고♟#해피칠드런 알찬 2시간반 수업시간동안엄빠는 브런치도 하고🥞🥐, 전시도 보고~🖼 **문화생활 종종 하자구...🎑 .#대림미술관#해피칠드런#하이메야욘#오빠는홀로흑석동
2019-10-06 21.23.17 2148696436622073767_대림미술관.jpg;10월 첫주말 나들이~#하이메야온 전시보러 미술관 고고♟#해피칠드런 알찬 2시간반 수업시간동안엄빠는 브런치도 하고🥞🥐, 전시도 보고~🖼 **문화생활 종종 하자구...🎑 .#대림미술관#해피칠드런#하이메야욘#오빠는홀로흑석동
2019-10-06 21.34.27 2148702051404052402_대림미술관.jpg;하이메 아욘 전시💙💙💙대학교때 이분 보면서 많이 찾아보고스케치하고 꿈 많이 키우고 했었는데 이렇게 볼슈 있어 기쁜 주말😍...#하이메아욘#대림미술관#꿀주말#전시회#행복#낮마실#데이트
2019-10-06 21.34.27 2148702051404072164_대림미술관.jpg;하이메 아욘 전시💙💙💙대학교때 이분 보면서 많이 찾아보고스케치하고 꿈 많이 키우고 했었는데 이렇게 볼슈 있어 기쁜 주말😍...#하이메아욘#대림미술관#꿀주말#전시회#행복#낮마실#데이트
2019-10-06 21.34.27 2148702051412284946_대림미술관.jpg;하이메 아욘 전시💙💙💙대학교때 이분 보면서 많이 찾아보고스케치하고 꿈 많이 키우고 했었는데 이렇게 볼슈 있어 기쁜 주말😍...#하이메아욘#대림미술관#꿀주말#전시회#행복#낮마실#데이트
2019-10-06 21.34.27 2148702051420615282_대림미술관.jpg;하이메 아욘 전시💙💙💙대학교때 이분 보면서 많이 찾아보고스케치하고 꿈 많이 키우고 했었는데 이렇게 볼슈 있어 기쁜 주말😍...#하이메아욘#대림미술관#꿀주말#전시회#행복#낮마실#데이트
2019-10-06 21.34.27 2148702051429207780_대림미술관.jpg;하이메 아욘 전시💙💙💙대학교때 이분 보면서 많이 찾아보고스케치하고 꿈 많이 키우고 했었는데 이렇게 볼슈 있어 기쁜 주말😍...#하이메아욘#대림미술관#꿀주말#전시회#행복#낮마실#데이트
2019-10-06 21.34.27 2148702054038070970_대림미술관.jpg;하이메 아욘 전시💙💙💙대학교때 이분 보면서 많이 찾아보고스케치하고 꿈 많이 키우고 했었는데 이렇게 볼슈 있어 기쁜 주말😍...#하이메아욘#대림미술관#꿀주말#전시회#행복#낮마실#데이트
2019-10-06 21.51.44 2148710758352378839_대림미술관.jpg;🌿⠀⠀⠀#대림미술관#미술관옆집
2019-10-06 21.54.13 2148712003992846671_대림미술관.jpg;Jaime Hayon, Serious Fun😆.....#대림미술관#하이메아욘#스페인미술#spainart#가을전시회#경복궁역#bikinigirls
2019-10-06 21.54.13 2148712004026557668_대림미술관.jpg;Jaime Hayon, Serious Fun😆.....#대림미술관#하이메아욘#스페인미술#spainart#가을전시회#경복궁역#bikinigirls
2019-10-06 21.54.13 2148712004034906177_대림미술관.jpg;Jaime Hayon, Serious Fun😆.....#대림미술관#하이메아욘#스페인미술#spainart#가을전시회#경복궁역#bikinigirls
2019-10-06 21.54.13 2148712004043266127_대림미술관.jpg;Jaime Hayon, Serious Fun😆.....#대림미술관#하이메아욘#스페인미술#spainart#가을전시회#경복궁역#bikinigirls
2019-10-06 21.54.13 2148712006459255723_대림미술관.jpg;Jaime Hayon, Serious Fun😆.....#대림미술관#하이메아욘#스페인미술#spainart#가을전시회#경복궁역#bikinigirls
2019-10-06 21.54.55 2148712356631555157_대림미술관.jpg;동네에서커피좀하는집🍩☕️
2019-10-06 21.54.55 2148712358644964883_대림미술관.jpg;동네에서커피좀하는집🍩☕️
2019-10-06 21.56.02 2148712922048694273_대림미술관.jpg;어서와 ~ 크리스마스야🍰🎄🎁🍧...#사진 은 #몇주전 #대림미술관 #전시#seriousfun #JaimeHayon#하이메아욘...온전한 쉼은 무엇일까?완전경쟁시장 같은 거??ㅋㅋㅋ#주말끝 #월요일을맞이하는 #직장인의자세...지금 듣고있는 🎧#AliceHart 의 #봄의찬가 🎧🎼🎼🎹 좋다~...세종솔로이스츠가 연주하는차이콥스키의 현을 위한 세레나데가오늘자 일상에 들어와주어 기쁘다🎻
2019-10-06 21.58.42 2148714260553228094_대림미술관.jpg;통인동 가면 항상 먹는 #통인스윗 먹느라 사진은 없지만 또먹어도 감동😋😋효자베이커리 옥수수빵은 삼송빵같은 느낌을 기대해서 그런가 별로였고...영화루의 고추간짜장은 맛잇지만 그냥그래서 군산 지린성을 다시 가보고 싶었따...주말일기끝.#하이메아욘 #오브제 #대림미술관 #효자베이커리 #영화루
2019-10-06 21.58.42 2148714260561638150_대림미술관.jpg;통인동 가면 항상 먹는 #통인스윗 먹느라 사진은 없지만 또먹어도 감동😋😋효자베이커리 옥수수빵은 삼송빵같은 느낌을 기대해서 그런가 별로였고...영화루의 고추간짜장은 맛잇지만 그냥그래서 군산 지린성을 다시 가보고 싶었따...주말일기끝.#하이메아욘 #오브제 #대림미술관 #효자베이커리 #영화루
2019-10-06 21.58.42 2148714260578226600_대림미술관.jpg;통인동 가면 항상 먹는 #통인스윗 먹느라 사진은 없지만 또먹어도 감동😋😋효자베이커리 옥수수빵은 삼송빵같은 느낌을 기대해서 그런가 별로였고...영화루의 고추간짜장은 맛잇지만 그냥그래서 군산 지린성을 다시 가보고 싶었따...주말일기끝.#하이메아욘 #오브제 #대림미술관 #효자베이커리 #영화루
2019-10-06 21.58.42 2148714260586596890_대림미술관.jpg;통인동 가면 항상 먹는 #통인스윗 먹느라 사진은 없지만 또먹어도 감동😋😋효자베이커리 옥수수빵은 삼송빵같은 느낌을 기대해서 그런가 별로였고...영화루의 고추간짜장은 맛잇지만 그냥그래서 군산 지린성을 다시 가보고 싶었따...주말일기끝.#하이메아욘 #오브제 #대림미술관 #효자베이커리 #영화루
2019-10-06 21.58.42 2148714263002582286_대림미술관.jpg;통인동 가면 항상 먹는 #통인스윗 먹느라 사진은 없지만 또먹어도 감동😋😋효자베이커리 옥수수빵은 삼송빵같은 느낌을 기대해서 그런가 별로였고...영화루의 고추간짜장은 맛잇지만 그냥그래서 군산 지린성을 다시 가보고 싶었따...주말일기끝.#하이메아욘 #오브제 #대림미술관 #효자베이커리 #영화루
2019-10-06 22.00.46 2148715301528418827_대림미술관.jpg;간만에 서울데이투😙 #지나랑#대림미술관 #하이메아욘 #죽은인스타인공호흡 #일상 #데이트
2019-10-06 22.08.45 2148719321282354657_대림미술관.jpg;혼자 여유롭게 전시를 즐기고 싶었으나현실은 왈가닥 세마리 동반 ㅋㅋ#조용히하자 #아기들아 #창의력 #주말나들이 #육스타그램 #대림미술관
2019-10-06 22.08.45 2148719321341119291_대림미술관.jpg;혼자 여유롭게 전시를 즐기고 싶었으나현실은 왈가닥 세마리 동반 ㅋㅋ#조용히하자 #아기들아 #창의력 #주말나들이 #육스타그램 #대림미술관
2019-10-06 22.08.45 2148719321349453748_대림미술관.jpg;혼자 여유롭게 전시를 즐기고 싶었으나현실은 왈가닥 세마리 동반 ㅋㅋ#조용히하자 #아기들아 #창의력 #주말나들이 #육스타그램 #대림미술관
2019-10-06 22.08.45 2148719321357900039_대림미술관.jpg;혼자 여유롭게 전시를 즐기고 싶었으나현실은 왈가닥 세마리 동반 ㅋㅋ#조용히하자 #아기들아 #창의력 #주말나들이 #육스타그램 #대림미술관
2019-10-06 22.08.45 2148719321366277763_대림미술관.jpg;혼자 여유롭게 전시를 즐기고 싶었으나현실은 왈가닥 세마리 동반 ㅋㅋ#조용히하자 #아기들아 #창의력 #주말나들이 #육스타그램 #대림미술관
2019-10-06 22.08.45 2148719321383072218_대림미술관.jpg;혼자 여유롭게 전시를 즐기고 싶었으나현실은 왈가닥 세마리 동반 ㅋㅋ#조용히하자 #아기들아 #창의력 #주말나들이 #육스타그램 #대림미술관
2019-10-06 22.08.45 2148719321391425361_대림미술관.jpg;혼자 여유롭게 전시를 즐기고 싶었으나현실은 왈가닥 세마리 동반 ㅋㅋ#조용히하자 #아기들아 #창의력 #주말나들이 #육스타그램 #대림미술관
2019-10-06 22.08.45 2148719325007034605_대림미술관.jpg;혼자 여유롭게 전시를 즐기고 싶었으나현실은 왈가닥 세마리 동반 ㅋㅋ#조용히하자 #아기들아 #창의력 #주말나들이 #육스타그램 #대림미술관
2019-10-06 22.09.01 2148719455098459349_대림미술관.jpg;#라스위스 #스위스음식 #광화문 #대림미술관 #하이메아욘숨겨진일곱가지사연 #서촌 #뤠인☔
2019-10-06 22.09.01 2148719455115253593_대림미술관.jpg;#라스위스 #스위스음식 #광화문 #대림미술관 #하이메아욘숨겨진일곱가지사연 #서촌 #뤠인☔
2019-10-06 22.09.01 2148719455123552860_대림미술관.jpg;#라스위스 #스위스음식 #광화문 #대림미술관 #하이메아욘숨겨진일곱가지사연 #서촌 #뤠인☔
2019-10-06 22.09.01 2148719455132056419_대림미술관.jpg;#라스위스 #스위스음식 #광화문 #대림미술관 #하이메아욘숨겨진일곱가지사연 #서촌 #뤠인☔
2019-10-06 22.09.01 2148719455140409941_대림미술관.jpg;#라스위스 #스위스음식 #광화문 #대림미술관 #하이메아욘숨겨진일곱가지사연 #서촌 #뤠인☔
2019-10-06 22.09.01 2148719455140502015_대림미술관.jpg;#라스위스 #스위스음식 #광화문 #대림미술관 #하이메아욘숨겨진일곱가지사연 #서촌 #뤠인☔
2019-10-06 22.09.01 2148719455148769893_대림미술관.jpg;#라스위스 #스위스음식 #광화문 #대림미술관 #하이메아욘숨겨진일곱가지사연 #서촌 #뤠인☔
2019-10-06 22.09.01 2148719455157299324_대림미술관.jpg;#라스위스 #스위스음식 #광화문 #대림미술관 #하이메아욘숨겨진일곱가지사연 #서촌 #뤠인☔
2019-10-06 22.09.01 2148719455165614131_대림미술관.jpg;#라스위스 #스위스음식 #광화문 #대림미술관 #하이메아욘숨겨진일곱가지사연 #서촌 #뤠인☔
2019-10-06 22.09.01 2148719457061341142_대림미술관.jpg;#라스위스 #스위스음식 #광화문 #대림미술관 #하이메아욘숨겨진일곱가지사연 #서촌 #뤠인☔
